"","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Offers"
"1",0.42,"AGSL","SI2","L"," ",62.7,"None",NA,"4.81x4.78x3.01","Excellent","Australia","Round","Excellent",57,"1",NA
"6",0.4,"GemEx","VS2","M"," ",63.8,"None",NA,"4.64x4.61x2.95","Excellent","Australia","Round","Excellent",59,"1",NA
"7",0.41,"AGSL","SI2","L"," ",62.2,"None",TRUE,"4.76x4.74x2.95","Excellent","DR Congo","Round","Very good",58,"1",NA
"8",0.4,"AGSL","SI1","K"," ",64.2,"Strong Bl..",FALSE,"4.63x4.59x2.96","Very good","Angola","Emerald","Very good",58,"1",NA
"9",0.4,"AGSL","VS2","L"," ",64.3,NA,FALSE,"4.67x4.62x2.99","Excellent","Russia","Round","Very good",NA,"1",NA
"19",0.4,"AGSL","SI2","K"," ",59.8,"None",NA,"4.8*4.76x2.86","Very good","Russia","Emerald","Very good",61,"1",NA
"36",0.4,"AGSL","VS1","L"," ",64,"None",NA,"4.69x4.62x2.98","Very good","Botswana","Emerald","Good",56,"1",NA
"38",0.42,"AGSL","VVS2","M"," ",NA,"Medium Bl..",NA,"4.81x4.79x2.89","Very good","Russia","Round","Very good",NA,"1",NA
"44",0.41,"AGSL","SI1","K"," ",61.3,"Strong Bl..",FALSE,"4.8x4.77x2.93","Very good","Australia","Round","Excellent",59,"1",NA
"50",0.4,"GemEx","SI1","K"," ",62.7,"Medium Bl..",FALSE,"4.75x4.69x2.96","Good","Australia","Round","Very good",57,"1",NA
"51",0.4,"AGSL","VS2","K"," ",63.1,"None",NA,"4.68x4.66x2.95","Very good","DR Congo","Emerald","Excellent",NA,"1",NA
"60",0.4,"AGSL","VS2","K"," ",62.7,"None",NA,"4.71x4.68x2.94","Very good","Russia","Round","Very good",59,"1",NA
"61",0.4,"AGSL","VS1","K"," ",64.8,"None",NA,"4.63x4.62x3","Very good","Australia","Round","Very good",58,"1",NA
"64",0.4,"GemEx","VVS2","L"," ",NA,"None",NA,"4.69x4.65x3","Very good","Russia","Oval","Very good",54,"1",NA
"67",0.41,"AGSL","SI1","K"," ",61.2,"None",NA,"4.83x4.81x2.95","Excellent","Zimbabwe","Round","Excellent",57,"1",NA
"68",0.44,"AGSL","VS2","L"," ",62.3,"Faint",NA,"4.91x4.88x3.05","Very good","Russia","Round","Very good",56,"1",NA
"75",0.43,"AGSL","SI1","K"," ",61.7,"None",NA,"4.82x4.81x2.97","Excellent","Russia","Round","Very good",NA,"1",NA
"78",0.42,"GemEx","SI1","K"," ",61.8,NA,NA,"4.83x4.8x2.98","Excellent","Russia","Round","Excellent",NA,"1",NA
"102",0.41,"AGSL","VS2","K"," ",60.3,"None",NA,"4.83x4.79x2.9","Excellent","Russia","Round","Excellent",NA,"1",NA
"123",0.4,"AGSL","SI1","J"," ",63.6,"None",NA,"4.67x4.64x2.96","Excellent","Botswana","Round","Excellent",58,"1",NA
"127",0.4,"AGSL","SI1","J"," ",62.9,NA,NA,"4.64*4.62x2.91","Very good","Zimbabwe","Round","Good",59,"1",NA
"129",0.41,"GemEx","VS1","K"," ",62.4,"None",FALSE,"4.76x4.74x2.96","Excellent","Botswana","Round","Excellent",NA,"1",NA
"131",0.4,"AGSL","VS2","J"," ",64.1,"None",NA,"4.64x4.6x2.96","Excellent","Russia","Round","Very good",59,"1",NA
"138",0.4,"NA","VVS1","K"," ",61.7,"None",NA,"4.76x4.75x2.93","Very good","DR Congo","Oval","Excellent",58,"1",NA
"157",0.4,"AGSL","VVS1","K"," ",60.2,"None",FALSE,"4.81x4.77x2.88","Excellent","Russia","Radiant","Very good",61,"1",NA
"159",0.4,"AGSL","VVS1","K"," ",61.9,"None",NA,"4.76x4.74x2.94","Excellent","Zimbabwe","Emerald","Very good",NA,"1",NA
"160",0.44,"NA","VS2","K"," ",62.5,"None",NA,"4.88x4.87x3.05","Excellent","Botswana","Round","Excellent",57,"1",NA
"162",0.41,"GemEx","SI2","H"," ",64.1,"None",NA,"4.64x4.68x2.99"," ","Canada","Round"," ",57,"1",NA
"163",0.4,"AGSL","SI1","J"," ",59.1,"None",NA,"4.82x4.79x2.84","Very good","Botswana","Asscher","Very good",61,"1",NA
"166",0.4,"AGSL","SI2","H"," ",62.7,"Faint",NA,"4.75x4.72x2.97","Excellent","Canada","Pear","Excellent",55,"1",NA
"167",0.43,"AGSL","SI2","J"," ",61.7,"None",NA,"4.82x4.77x2.96","Very good","DR Congo","Pear","Very good",59,"1",NA
"170",0.4,"AGSL","SI2","G"," ",62.4,"None",NA,"4.73x4.7x2.95","Very good","Australia","Round","Very good",57,"1",NA
"171",0.4,"AGSL","SI2","G"," ",NA,"None",NA,"4.72x4.7x2.93","Very good","Botswana","Round","Excellent",NA,"1",NA
"174",0.4,"AGSL","SI1","J"," ",62,"Faint",NA,"4.75x4.72x2.94","Very good","Botswana","Marquise","Excellent",NA,"1",NA
"178",0.4,"NA","SI2","H"," ",63,"None",NA,"4.68x4.66x2.94","Excellent","Other/Unknown","Emerald","Excellent",NA,"1",NA
"179",0.4,"AGSL","SI1","I"," ",NA,"None",NA,"4.69*4.64x3","Excellent","Botswana","Princess","Very good",NA,"1",NA
"194",0.41,"GemEx","SI1","J"," ",63.1,"Faint",FALSE,"4.73x4.69x2.97","Excellent","Botswana","Round","Very good",58,"1",NA
"204",0.4,"AGSL","VVS1","J"," ",NA,"None",NA,"4.62x4.59x2.97","Very good","Angola","Round","Good",NA,"1",NA
"209",0.41,"AGSL","SI2","J"," ",62.7,NA,NA,"4.72x4.74x2.97"," ","South Africa","Round"," ",NA,"1",NA
"210",0.4,"AGSL","VS1","J"," ",63.2,"Medium Bl..",NA,"4.67x4.65x2.95","Very good","Botswana","Round","Very good",57,"2",NA
"211",0.41,"AGSL","VVS2","J"," ",62.3,NA,NA,"4.78x4.74x2.97","Excellent","South Africa","Princess","Very good",58,"1",NA
"220",0.4,"AGSL","SI2","E"," ",63.3,"None",NA,"4.6x4.64x2.92"," ","Russia","Round"," ",57,"1",NA
"222",0.4,"NA","SI2","E"," ",61.4,"None",NA,"4.74x4.75x2.92"," ","Botswana","Emerald"," ",59,"1",NA
"227",0.4,"AGSL","SI2","E"," ",NA,"None",NA,"4.69x4.74x2.94"," ","Russia","Radiant"," ",57,"1",NA
"229",0.4,"NA","VS2","J"," ",59.3," ",NA,"4.77x4.8x2.84","Excellent","Russia","Princess","Excellent",NA,"1",NA
"230",0.4,"AGSL","SI2","E"," ",NA,"Faint",NA,"4.83X4.86x2.81"," ","Botswana","Round"," ",NA,"1",NA
"232",0.4,"AGSL","SI2","E"," ",62,"None",NA,"4.68x4.7x2.91"," ","South Africa","ROUND"," ",56,"1",NA
"233",0.4,"AGSL","SI2","E"," ",NA,"Faint",NA,"4.7x4.74x2.93"," ","Russia","Asscher"," ",56,"1",NA
"235",0.4,"AGSL","SI2","E"," ",63.6,NA,NA,"4.65x4.67x2.97"," ","South Africa","Round"," ",55,"1",NA
"238",0.4,"AGSL","SI2","E"," ",63.2,"None",FALSE,"4.62x4.65x2.93"," ","Botswana","Round"," ",NA,"1",NA
"239",0.5,"AGSL","VS1","M"," ",64.1,NA,NA,"5.02x5*3.21","Very good","Australia","Round","Very good",NA,"1",NA
"244",0.4,"AGSL","VS2","I"," ",62.5,"None",FALSE,"4.66x4.65x2.91","Very good","DR Congo","Radiant","Very good",59,"1",NA
"245",0.4,"AGSL","SI2","F"," ",61.7,"None",NA,"4.73x4.72x2.91","Very good","Canada","Round","Very good",NA,"1",NA
"246",0.43,"NA","SI2","H"," ",62.4,"Faint",NA,"4.81x4.79+2.99","Excellent","Russia","Oval","Excellent",57,"1",NA
"248",0.4,"AGSL","SI1","G"," ",63.8,"Strong Bl..",NA,"4.67x4.63x2.97","Very good","Australia","Asscher","Excellent",56,"1",NA
"262",0.4,"AGSL","SI1","F"," ",64.6,"None",NA,"4.65x4.62x2.99","Very good","Russia","Oval","Excellent",56,"1",NA
"264",0.41,"AGSL","SI2","E"," ",NA,"None",NA,"4.67x4.69x2.98"," ","Russia","Emerald"," ",59,"1",NA
"268",0.4,"AGSL","SI1","I"," ",63,NA,NA,"4.67x4.66x2.94","Excellent","Botswana","ROUND","Very good",58,"1",NA
"272",0.4,"AGSL","SI1","I"," ",NA,"None",NA,"4.72x4.68x2.96","Very good","Australia","Round","Very good",NA,"1",NA
"273",0.51,"AGSL","SI1","M"," ",62.6,"Faint",NA,"5.09x5.04x3.17","Very good","Russia","Round","Very good",NA,"2",NA
"274",0.41,"AGSL","SI2","F"," ",61.9,NA,NA,"4.69x4.75*2.92"," ","Russia","Round"," ",59,"1",NA
"284",0.4,"AGSL","SI2","F"," ",61.9,"None",FALSE,"4.73x4.74x2.93"," ","Russia","Round"," ",56,"1",NA
"292",0.4,"AGSL","SI1","F"," ",NA,NA,NA,"4.62x4.61x3.01","Very good","Australia","Pear","Excellent",57,"1",NA
"293",0.4,"GemEx","SI2","H"," ",NA,"None",NA,"4.77x4.74x2.89","Excellent","DR Congo","Round","Excellent",58,"1",NA
"296",0.4,"AGSL","SI1","I"," ",NA,"None",NA,"4.73x4.71x2.94","Very good","Russia","Round","Very good",58,"1",NA
"299",0.4,"AGSL","SI1","H"," ",63.2,"None",NA,"4.7x4.68x2.97","Very good","Canada","Emerald","Very good",55,"1",NA
"301",0.4,"AGSL","VS1","I"," ",64.8,"None",NA,"4.63x4.6x2.99","Very good","Australia","Round","Very good",56,"1",NA
"302",0.42,"AGSL","SI1","I"," ",60.8,"Medium Bl..",NA,"4.87x4.84x2.95","Excellent","Canada","Oval","Excellent",58,"1",NA
"305",0.41,"AGSL","VS2","J"," ",60.5,"None",NA,"4.84x4.81x2.92","Excellent","Other/Unknown","Round","Excellent",58,"1",NA
"308",0.4,"AGSL","SI1","I"," ",62.1,"None",NA,"4.75x4.73x2.94","Very good","Angola","Round","Excellent",NA,"1",NA
"309",0.4,"AGSL","SI1","F"," ",64.1,"None",FALSE,"4.69x4.66x2.99","Very good","Other/Unknown","Round","Very good",NA,"1",NA
"310",0.4,"AGSL","SI1","I"," ",63,"Faint",NA,"4.68x4.64x2.94","Very good","Canada","Princess","Very good",60,"1",NA
"315",0.4,"AGSL","SI1","F"," ",59.2,"Medium Ye..",NA,"4.83x4.8x2.85","Very good","Australia","Oval ","Very good",63,"1",NA
"316",0.41,"AGSL","SI1","I"," ",63.4,"None",NA,"4.7x4.69x2.98","Very good","Botswana","Round","Very good",57,"1",NA
