ID,Carats,Cert,Clarity,Color,Cut,Depth,Fluroescence,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Price,Retail,Proj Profit,Profit Perc
1,0.42,AGSL,SI2,L, ,62.7,None,,4.81x4.78x3.01,Excellent,Australia,Round,Excellent,57,1,$689,$626,"$1,115",$489,78%
6,0.4,GemEx,VS2,M, ,63.8,None,,4.64x4.61x2.95,Excellent,Australia,Round,Excellent,59,1,$686,$624,"$1,128",$504,81%
7,0.41,AGSL,SI2,L, ,62.2,None,TRUE,4.76x4.74x2.95,Excellent,DR Congo,Round,Very good,58,1,$697,$634,"$1,121",$488,77%
8,0.4,AGSL,SI1,K, ,64.2,Strong Bl..,FALSE,4.63x4.59x2.96,Very good,Angola,Emerald,Very good,58,1,,$637,$958,$322,51%
9,0.4,AGSL,VS2,L, ,64.3,,FALSE,4.67x4.62x2.99,Excellent,Russia,Round,Very good,,1,$703,$639,"$1,155",$516,81%
19,0.4,AGSL,SI2,K, ,59.8,None,,4.8*4.76x2.86,Very good,Russia,Emerald,Very good,61,1,,$645,"$1,101",$456,71%
36,0.4,AGSL,VS1,L, ,64,None,,4.69x4.62x2.98,Very good,Botswana,Emerald,Good,56,1,$658,$598,"$1,135",$537,90%
38,0.42,AGSL,VVS2,M, ,,Medium Bl..,,4.81x4.79x2.89,Very good,Russia,Round,Very good,,1,$818,$744,"$1,323",$580,78%
44,0.41,AGSL,SI1,K, ,61.3,Strong Bl..,FALSE,4.8x4.77x2.93,Very good,Australia,Round,Excellent,59,1,$705,$641,"$1,137",$496,77%
50,0.4,GemEx,SI1,K, ,62.7,Medium Bl..,FALSE,4.75x4.69x2.96,Good,Australia,Round,Very good,57,1,$746,$679,"$1,258",$580,85%
51,0.4,AGSL,VS2,K, ,63.1,None,,4.68x4.66x2.95,Very good,DR Congo,Emerald,Excellent,,1,$701,$637,"$1,168",$531,83%
60,0.4,AGSL,VS2,K, ,62.7,None,,4.71x4.68x2.94,Very good,Russia,Round,Very good,59,1,$692,$629,"$1,139",$510,81%
61,0.4,AGSL,VS1,K, ,64.8,None,,4.63x4.62x3,Very good,Australia,Round,Very good,58,1,$711,$647,"$1,305",$659,102%
64,0.4,GemEx,VVS2,L, ,,None,,4.69x4.65x3,Very good,Russia,Oval,Very good,54,1,$803,$730,"$1,367",$637,87%
67,0.41,AGSL,SI1,K, ,61.2,None,,4.83x4.81x2.95,Excellent,Zimbabwe,Round,Excellent,57,1,,$643,"$1,120",$478,74%
68,0.44,AGSL,VS2,L, ,62.3,Faint,,4.91x4.88x3.05,Very good,Russia,Round,Very good,56,1,$738,$671,"$1,328",$657,98%
75,0.43,AGSL,SI1,K, ,61.7,None,,4.82x4.81x2.97,Excellent,Russia,Round,Very good,,1,$718,$653,"$1,214",$561,86%
78,0.42,GemEx,SI1,K, ,61.8,,,4.83x4.8x2.98,Excellent,Russia,Round,Excellent,,1,$702,$639,"$1,215",$577,90%
102,0.41,AGSL,VS2,K, ,60.3,None,,4.83x4.79x2.9,Excellent,Russia,Round,Excellent,,1,$723,$658,"$1,214",$556,85%
123,0.4,AGSL,SI1,J, ,63.6,None,,4.67x4.64x2.96,Excellent,Botswana,Round,Excellent,58,1,$802,$730,"$1,294",$565,77%
127,0.4,AGSL,SI1,J, ,62.9,,,4.64*4.62x2.91,Very good,Zimbabwe,Round,Good,59,1,$800,$727,"$1,308",$581,80%
129,0.41,GemEx,VS1,K, ,62.4,None,FALSE,4.76x4.74x2.96,Excellent,Botswana,Round,Excellent,,1,$754,$686,"$1,334",$648,95%
131,0.4,AGSL,VS2,J, ,64.1,None,,4.64x4.6x2.96,Excellent,Russia,Round,Very good,59,1,,$744,"$1,110",$367,49%
138,0.4,,VVS1,K, ,61.7,None,,4.76x4.75x2.93,Very good,DR Congo,Oval,Excellent,58,1,$793,$721,"$1,362",$642,89%
157,0.4,AGSL,VVS1,K, ,60.2,None,FALSE,4.81x4.77x2.88,Excellent,Russia,Radiant,Very good,61,1,$796,$724,"$1,379",$656,91%
159,0.4,AGSL,VVS1,K, ,61.9,None,,4.76x4.74x2.94,Excellent,Zimbabwe,Emerald,Very good,,1,,$709,"$1,193",$484,68%
160,0.44,,VS2,K, ,62.5,None,,4.88x4.87x3.05,Excellent,Botswana,Round,Excellent,57,1,$746,$679,"$1,226",$547,81%
162,0.41,GemEx,SI2,H, ,64.1,None,,4.64x4.68x2.99, ,Canada,Round, ,57,1,,$855,"$1,205",$350,41%
163,0.4,AGSL,SI1,J, ,59.1,None,,4.82x4.79x2.84,Very good,Botswana,Asscher,Very good,61,1,,$691,"$1,107",$417,60%
166,0.4,AGSL,SI2,H, ,62.7,Faint,,4.75x4.72x2.97,Excellent,Canada,Pear,Excellent,55,1,,$831,"$1,132",$301,36%
167,0.43,AGSL,SI2,J, ,61.7,None,,4.82x4.77x2.96,Very good,DR Congo,Pear,Very good,59,1,,$750,"$1,007",$258,34%
170,0.4,AGSL,SI2,G, ,62.4,None,,4.73x4.7x2.95,Very good,Australia,Round,Very good,57,1,,$900,"$1,434",$535,59%
171,0.4,AGSL,SI2,G, ,,None,,4.72x4.7x2.93,Very good,Botswana,Round,Excellent,,1,,$923,"$1,283",$360,39%
